,season,round,race_name,driver_id,driver_name,grid,position,points
182,2026,9,British Grand Prix,arvid_lindblad,Arvid Lindblad,9,7,6
183,2026,9,British Grand Prix,bortoleto,Gabriel Bortoleto,11,8,4
184,2026,9,British Grand Prix,colapinto,Franco Colapinto,19,9,2
185,2026,9,British Grand Prix,gasly,Pierre Gasly,15,10,1
186,2026,9,British Grand Prix,piastri,Oscar Piastri,8,11,0
187,2026,9,British Grand Prix,bearman,Oliver Bearman,13,12,0
188,2026,9,British Grand Prix,ocon,Esteban Ocon,17,13,0
189,2026,9,British Grand Prix,perez,Sergio Pérez,20,14,0
190,2026,9,British Grand Prix,antonelli,Andrea Kimi Antonelli,1,15,0
191,2026,9,British Grand Prix,bottas,Valtteri Bottas,18,16,0
192,2026,9,British Grand Prix,sainz,Carlos Sainz,14,17,0
193,2026,9,British Grand Prix,alonso,Fernando Alonso,21,18,0
194,2026,9,British Grand Prix,stroll,Lance Stroll,22,19,0
195,2026,9,British Grand Prix,max_verstappen,Max Verstappen,7,20,0
196,2026,9,British Grand Prix,albon,Alexander Albon,16,21,0
197,2026,9,British Grand Prix,hulkenberg,Nico Hülkenberg,12,22,0
198,2026,10,Belgian Grand Prix,antonelli,Andrea Kimi Antonelli,1,1,25
199,2026,10,Belgian Grand Prix,leclerc,Charles Leclerc,4,2,18
200,2026,10,Belgian Grand Prix,max_verstappen,Max Verstappen,2,3,15
201,2026,10,Belgian Grand Prix,hamilton,Lewis Hamilton,5,4,12
202,2026,10,Belgian Grand Prix,piastri,Oscar Piastri,6,5,10
203,2026,10,Belgian Grand Prix,hadjar,Isack Hadjar,21,6,8
204,2026,10,Belgian Grand Prix,norris,Lando Norris,13,7,6
205,2026,10,Belgian Grand Prix,bortoleto,Gabriel Bortoleto,8,8,4
206,2026,10,Belgian Grand Prix,arvid_lindblad,Arvid Lindblad,7,9,2
207,2026,10,Belgian Grand Prix,colapinto,Franco Colapinto,11,10,1
208,2026,10,Belgian Grand Prix,gasly,Pierre Gasly,10,11,0
209,2026,10,Belgian Grand Prix,lawson,Liam Lawson,9,12,0
210,2026,10,Belgian Grand Prix,hulkenberg,Nico Hülkenberg,12,13,0
211,2026,10,Belgian Grand Prix,bearman,Oliver Bearman,14,14,0
212,2026,10,Belgian Grand Prix,albon,Alexander Albon,15,15,0
213,2026,10,Belgian Grand Prix,sainz,Carlos Sainz,19,16,0
